AWA,AWS,HOG,COG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
19.1355835515,10.5695961051,-23.7008988423,-23.0335980834,1.83639733102,0.0,180,0.000507237309012,0.000272650035434,-12,10.0,0,-34.6765799297,-34.8832982058,0,100.0
19.7525242248,10.60025977,-24.3626165038,-23.7008988423,1.81586386342,0.0,180,0.000510975580204,0.000271008979162,-12,11.0,0,-34.8832982059,-34.9792594556,0,100.0
20.2644071078,10.3936456244,-25.0187239234,-24.3626165038,1.80067109643,0.0,180,0.000514663533406,0.000269338949937,-12,11.0,0,-34.8832982059,-35.070427429,0,100.0
20.8877538575,10.4818035945,-25.5632488273,-25.0187239234,1.7854044638,0.0,180,0.000518301017934,0.000267641315639,-10,11.0,0,-35.0704274291,-35.1567912704,0,100.0
21.3573851683,10.4383939228,-26.1043527354,-25.5632488273,1.7741408453,0.0,180,0.000521899359485,0.00026592011628,-10,11.0,0,-35.0704274291,-35.2394353301,0,100.0
21.8226227194,10.390074134,-26.5903668447,-26.1043527354,1.76299474646,0.0,180,0.000525458782155,0.000264176037789,-9,12.0,0,-35.2394353301,-35.3183396576,0,100.0
22.193174743,10.2619330792,-27.0748650251,-26.5903668447,1.75774962305,0.0,180,0.0005289927374,0.000262407107924,-9,12.0,0,-35.2394353301,-35.3941793138,0,100.0
22.6620230742,10.3655578442,-27.5590152013,-27.0748650251,1.75226701764,0.0,180,0.000532500632522,0.000260613968709,-9,12.0,0,-35.3941793138,-35.4668936748,0,100.0
23.1335672397,10.4990344024,-27.9895367941,-27.5590152013,1.75100840375,0.0,180,0.000535990741866,0.000258792561315,-8,12.0,0,-35.3941793138,-35.5365907387,0,100.0
23.5478473544,10.605956338,-28.4223595695,-27.9895367941,1.75016990586,0.0,180,0.00053946540203,0.00025694586558,-8,14.0,0,-35.5365907386,-35.6036823615,0,100.0
23.925514775,10.6815266203,-28.8575139612,-28.4223595695,1.75952474585,0.0,180,0.000542944510234,0.000255062963772,-8,14.0,0,-35.5365907386,-35.6684575188,0,100.0
24.3739712491,10.9217031448,-29.2407707844,-28.8575139612,1.76900330561,0.0,180,0.000546427882206,0.000253143407884,-7,14.0,0,-35.5365907386,-35.7308019086,0,100.0
24.5819945874,10.7007162893,-29.6277219644,-29.2407707844,1.77924601432,0.0,180,0.000549918430537,0.000251189345426,-7,15.0,0,-35.7308019086,-35.7911187598,0,100.0
24.9569964157,10.9060430665,-30.0185054174,-29.6277219644,1.79639683658,0.0,180,0.000553429221197,0.000249192691292,-7,15.0,0,-35.7308019086,-35.8495101242,0,100.0
25.2333588257,10.8799652944,-30.3568883784,-30.0185054174,1.81418792628,0.0,180,0.000556960946571,0.000247152127508,-6,15.0,0,-35.7308019086,-35.9058480948,0,100.0
25.5268829586,10.9932484762,-30.6994582226,-30.3568883784,1.83153194665,0.0,180,0.000560514207305,0.00024507103414,-6,15.0,0,-35.9058480947,-35.9605139952,0,100.0
